link,subassembly,servo_ids,method,status
Z_BOT2_MASTER_BODY_SKELETON,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_Z_BOT2_MASTER_BODY_SKELETON.SLDASM,S03 S06 S07 S08,reuse_existing_link_subassembly,PASS
3215_1Flange,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_1FLANGE.SLDASM,S02 S10,reuse_existing_link_subassembly,PASS
3215_1Flange_2,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_1FLANGE_2.SLDASM,S01 S09,reuse_existing_link_subassembly,PASS
3215_BothFlange_10,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_10.SLDASM,S04,reuse_existing_link_subassembly,PASS
3215_BothFlange_13,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_13.SLDASM,S14 S16,reuse_existing_link_subassembly,PASS
3215_BothFlange_14,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_14.SLDASM,S13 S15,reuse_existing_link_subassembly,PASS
3215_BothFlange_5,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_5.SLDASM,S12,reuse_existing_link_subassembly,PASS
3215_BothFlange_6,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_6.SLDASM,S11,reuse_existing_link_subassembly,PASS
3215_BothFlange_9,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_3215_BOTHFLANGE_9.SLDASM,S05,reuse_existing_link_subassembly,PASS
FINGER_1,E:\Codex\Documents-Codex\roboto-lite-infra-portfolio\roboto_xw\reference\zeroth01\generated\solidworks\physical_mount_v1\links\ZEROTH01_PHYSICAL_MOUNT_V1_LINK_FINGER_1.SLDASM,,reuse_existing_link_subassembly,PASS
