target_name,downloaded_name,source_sha256,output_sha256,bytes,urdf_sha256
Left_Hand.stl,Left_Hand.stl,4bfae2b11634144d16a9c298ab6c91d0d6f4ed4f6e1b2e2771718934a33eb429,4bfae2b11634144d16a9c298ab6c91d0d6f4ed4f6e1b2e2771718934a33eb429,81684,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
Torso.stl,Torso.stl,5aeb3948cf9c588794e529315f328ae28152343a216890b927800b6ea4aa6ee2,5aeb3948cf9c588794e529315f328ae28152343a216890b927800b6ea4aa6ee2,953984,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
ankle_pitch_left.stl,ankle_pitch_left.stl,5e7200c973065b885cb15943c7e2d05617456a2ff4ea61f2dd744e4081cab306,5e7200c973065b885cb15943c7e2d05617456a2ff4ea61f2dd744e4081cab306,212384,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
ankle_pitch_right.stl,ankle_pitch_right.stl,d8f9993ced11f81ced127f77e0f591ee0f81fbbba5e448b0d04d72674e0b50bb,d8f9993ced11f81ced127f77e0f591ee0f81fbbba5e448b0d04d72674e0b50bb,209934,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
foot_left.stl,foot_left.stl,870d7d5db2d84fb05140c421fbf33e11e3975761961fafb07edfffd5a890ad79,870d7d5db2d84fb05140c421fbf33e11e3975761961fafb07edfffd5a890ad79,73784,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
foot_right.stl,foot_right.stl,caaf696f70fe86e0392067966b7cc1f1b44f9fed9a601488ffcf004705df037b,caaf696f70fe86e0392067966b7cc1f1b44f9fed9a601488ffcf004705df037b,78984,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
hand_right.stl,hand_right.stl,d6d9a92c0abd441e9aab4618572b7f5aeaca3551082482e188e5a0f6cd567ed4,d6d9a92c0abd441e9aab4618572b7f5aeaca3551082482e188e5a0f6cd567ed4,81484,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
hip_roll_left.stl,hip_roll_left.stl,cbf6c0d4dbec27db55eb29c7248f09eaf92300f42f4187a70dcc65e54611e570,cbf6c0d4dbec27db55eb29c7248f09eaf92300f42f4187a70dcc65e54611e570,209634,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
hip_roll_right.stl,hip_roll_right.stl,8b4c4d41d57204b254781dbddc56053988783ba597932e4f66dee9cb26864099,8b4c4d41d57204b254781dbddc56053988783ba597932e4f66dee9cb26864099,207084,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
hip_yaw_left.stl,hip_yaw_left.stl,df6c7bac1e9fe95ac3f5a9b8e8b563fc791f077441ad3fbbe77d9074db2a7a61,df6c7bac1e9fe95ac3f5a9b8e8b563fc791f077441ad3fbbe77d9074db2a7a61,199034,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
hip_yaw_right.stl,hip_yaw_right.stl,00cc0c65ac1ba1238b43e8ec80ba041147ecf718a3c9033fd3e2ff64098e7670,00cc0c65ac1ba1238b43e8ec80ba041147ecf718a3c9033fd3e2ff64098e7670,198284,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
knee_pitch_right.stl,knee_pitch_right.stl,5bc816ac61e2d5bf357fd237e220c879c520d4b99371b51a041a5dd66d1a1662,5bc816ac61e2d5bf357fd237e220c879c520d4b99371b51a041a5dd66d1a1662,214984,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
knee_pitch_right_2.stl,knee_pitch_right_2.stl,a23fe1c08fe4298c2ffa44a8bd209f9e9e879c5776d3c5ee013b1a01f074046e,a23fe1c08fe4298c2ffa44a8bd209f9e9e879c5776d3c5ee013b1a01f074046e,211784,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
left_shoulder_yaw_motor.stl,left_shoulder_yaw_motor.stl,1fd85e3587ee3c6dbe71ba11de471c9c7ee14aae7f36e29190675fe305a7d1cb,1fd85e3587ee3c6dbe71ba11de471c9c7ee14aae7f36e29190675fe305a7d1cb,286284,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
right_shoulder_yaw_motor.stl,right_shoulder_yaw_motor.stl,879d479d003c9877b389c775b416eecaa8f968594343c9dfb1c026efc02a44ea,879d479d003c9877b389c775b416eecaa8f968594343c9dfb1c026efc02a44ea,280634,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
shoulder_yaw_left.stl,shoulder_yaw_left.stl,fc21d81f5ea399e1d2ce727c599f5372ec721769aa0fe01b9c22a467238800b5,fc21d81f5ea399e1d2ce727c599f5372ec721769aa0fe01b9c22a467238800b5,120834,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
shoulder_yaw_right.stl,shoulder_yaw_right.stl,541560e086b158d6b76f6bab8f8aae2eca6bcf9de31a76c8f848edcc5c7065a5,541560e086b158d6b76f6bab8f8aae2eca6bcf9de31a76c8f848edcc5c7065a5,121884,dafec2cd59fe5272183a032e4119935bfe158466b0b919d41b5073acbd105878
